FileName	CellType	Name	Cy3
257236345078/SG11440003_257236345078_S001_GE1_1100_Jul11_1_1.txt	SH-SY5Y	SH-SY5Y_1	Sample
257236345078/SG11440003_257236345078_S001_GE1_1100_Jul11_1_2.txt	SK-N-BE(2)	SK-N-BE(2)_1	Sample
257236345078/SG11440003_257236345078_S001_GE1_1100_Jul11_1_3.txt	Kelly	Kelly_1	Sample
257236345078/SG11440003_257236345078_S001_GE1_1100_Jul11_1_4.txt	ReNcell VM	ReNcell VM_1	Sample
257236345078/SG11440003_257236345078_S001_GE1_1100_Jul11_2_1.txt	SH-SY5Y	SH-SY5Y_2	Sample
257236345078/SG11440003_257236345078_S001_GE1_1100_Jul11_2_2.txt	ReNcell VM	ReNcell VM_2	Sample
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_1_1.txt	SK-N-BE(2)	SK-N-BE(2)_2	Sample
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_1_2.txt	Kelly	Kelly_2	Sample
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_1_3.txt	SH-SY5Y	SH-SY5Y_3	Sample
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_1_4.txt	SK-N-BE(2)	SK-N-BE(2)_3	Sample
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_2_1.txt	Kelly	Kelly_3	Sample
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_2_2.txt	Insula	Insula_1	Control
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_2_3.txt	ReNcell VM	ReNcell VM_3	Sample
257236345079/SG11440003_257236345079_S001_GE1_1100_Jul11_2_4.txt	Insula	Insula_2	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_1_1.txt	Insula	Insula_3	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_1_2.txt	Adult Brain	Adult Brain_1	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_1_3.txt	Adult Brain	Adult Brain_2	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_1_4.txt	Adult Brain	Adult Brain_3	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_2_1.txt	Hippocampus	Hippocampus_1	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_2_2.txt	Hippocampus	Hippocampus_2	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_2_3.txt	Hippocampus	Hippocampus_3	Control
257236345080/SG11440003_257236345080_S001_GE1_1100_Jul11_2_4.txt	Insula	Insula_4	Control
